County,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
"Baldwin County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0
"Blount County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Calhoun County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Cullman County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
"Escambia County, AL",2014.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Etowah County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Houston County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Jefferson County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,168.0
"Lee County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Madison County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Marshall County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Mobile County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,54.0
"Montgomery County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"St. Clair County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Shelby County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,37.0
"Tuscaloosa County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Walker County, AL",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Anchorage Borough, AK",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0
"Fairbanks North Star Borough, AK",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Matanuska-Susitna Borough, AK",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Cochise County, AZ",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Gila County, AZ",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Maricopa County, AZ",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,538.0
"Maricopa County, AZ",2014.0,Drug poisonings (overdose) Suicide (X60-X64),D2,92.0
"Maricopa County, AZ",2014.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,65.0
"Mohave County, AZ",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0
"Mohave County, AZ",2014.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0
"Navajo County, AZ",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Pima County, AZ",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,178.0
"Pima County, AZ",2014.0,Drug poisonings (overdose) Suicide (X60-X64),D2,29.0
"Pima County, AZ",2014.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,15.0
"Pinal County, AZ",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0
"Yavapai County, AZ",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,35.0
"Yavapai County, AZ",2014.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,17.0
"Yuma County, AZ",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,35.0
"Benton County, AR",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Faulkner County, AR",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Garland County, AR",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Lonoke County, AR",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Pulaski County, AR",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0
"Saline County, AR",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Sebastian County, AR",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Washington County, AR",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Alameda County, CA",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,142.0
"Alameda County, CA",2014.0,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0
"Amador County, CA",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Butte County, CA",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,70.0
"Contra Costa County, CA",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,111.0
"Contra Costa County, CA",2014.0,Drug poisonings (overdose) Suicide (X60-X64),D2,15.0
"El Dorado County, CA",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,47.0
"Fresno County, CA",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,111.0
"Fresno County, CA",2014.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0
"Humboldt County, CA",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0
"Imperial County, CA",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0
"Kern County, CA",2014.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,186.0
