County,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
"Baldwin County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0
"Blount County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Cullman County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"DeKalb County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Jackson County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Jefferson County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,65.0
"Madison County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0
"Marshall County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Mobile County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,47.0
"Mobile County, AL",2012.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0
"Montgomery County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Morgan County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Shelby County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0
"Talladega County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Tuscaloosa County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
"Walker County, AL",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
"Anchorage Borough, AK",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,54.0
"Kenai Peninsula Borough, AK",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Matanuska-Susitna Borough, AK",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Cochise County, AZ",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Maricopa County, AZ",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,456.0
"Maricopa County, AZ",2012.0,Drug poisonings (overdose) Suicide (X60-X64),D2,88.0
"Maricopa County, AZ",2012.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,86.0
"Mohave County, AZ",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,55.0
"Mohave County, AZ",2012.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0
"Navajo County, AZ",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Pima County, AZ",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,163.0
"Pima County, AZ",2012.0,Drug poisonings (overdose) Suicide (X60-X64),D2,36.0
"Pima County, AZ",2012.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14.0
"Pinal County, AZ",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0
"Yavapai County, AZ",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,39.0
"Yavapai County, AZ",2012.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0
"Yavapai County, AZ",2012.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14.0
"Yuma County, AZ",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0
"Benton County, AR",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Faulkner County, AR",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Garland County, AR",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Pulaski County, AR",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0
"Pulaski County, AR",2012.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0
"Saline County, AR",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Sebastian County, AR",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Washington County, AR",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Alameda County, CA",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,115.0
"Alameda County, CA",2012.0,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0
"Butte County, CA",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,67.0
"Contra Costa County, CA",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,99.0
"Contra Costa County, CA",2012.0,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0
"El Dorado County, CA",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0
"Fresno County, CA",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,67.0
"Humboldt County, CA",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0
"Imperial County, CA",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Kern County, CA",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,135.0
"Kern County, CA",2012.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0
"Lake County, CA",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Los Angeles County, CA",2012.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,566.0
