County,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
"Baldwin County, AL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Chilton County, AL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Jefferson County, AL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,55.0
"Mobile County, AL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
"Mobile County, AL",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Montgomery County, AL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Morgan County, AL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Shelby County, AL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Tuscaloosa County, AL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Anchorage Borough, AK",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0
"Matanuska-Susitna Borough, AK",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Cochise County, AZ",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Maricopa County, AZ",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,400.0
"Maricopa County, AZ",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,84.0
"Maricopa County, AZ",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,54.0
"Mohave County, AZ",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Navajo County, AZ",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Pima County, AZ",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,157.0
"Pima County, AZ",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0
"Pima County, AZ",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Pinal County, AZ",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
