County,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
"Baldwin County, AL",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Jefferson County, AL",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0
"Madison County, AL",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Mobile County, AL",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Morgan County, AL",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Tuscaloosa County, AL",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Walker County, AL",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Anchorage Borough, AK",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"Fairbanks North Star Borough, AK",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Cochise County, AZ",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Maricopa County, AZ",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,346.0
"Maricopa County, AZ",2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,68.0
"Maricopa County, AZ",2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,50.0
"Mohave County, AZ",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Mohave County, AZ",2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11.0
"Pima County, AZ",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,145.0
"Pima County, AZ",2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0
"Pima County, AZ",2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Pinal County, AZ",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Yavapai County, AZ",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Yuma County, AZ",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Benton County, AR",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Pulaski County, AR",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Pulaski County, AR",2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,26.0
"Saline County, AR",2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Alameda County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,132.0
"Alameda County, CA",2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,28.0
"Butte County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0
"Contra Costa County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,90.0
"Contra Costa County, CA",2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0
"El Dorado County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Fresno County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,73.0
"Fresno County, CA",2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0
"Humboldt County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,36.0
"Imperial County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Kern County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,84.0
"Lake County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Los Angeles County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,523.0
"Los Angeles County, CA",2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,98.0
"Los Angeles County, CA",2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,18.0
"Madera County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Marin County, CA",2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,16.0
"Merced County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Monterey County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,40.0
"Nevada County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Orange County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,174.0
"Orange County, CA",2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,38.0
"Orange County, CA",2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,27.0
"Placer County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"Riverside County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,141.0
"Riverside County, CA",2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,26.0
"Sacramento County, CA",2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,161.0
"Sacramento County, CA",2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,35.0
