County,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
"Baldwin County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0
"Calhoun County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Escambia County, AL",2009.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Etowah County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Houston County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Jefferson County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,80.0
"Jefferson County, AL",2009.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0
"Lawrence County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Lee County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Limestone County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Madison County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
"Mobile County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0
"Montgomery County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Morgan County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"St. Clair County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Shelby County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"Tuscaloosa County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"Walker County, AL",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0
"Anchorage Borough, AK",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0
"Anchorage Borough, AK",2009.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0
"Fairbanks North Star Borough, AK",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Kenai Peninsula Borough, AK",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Matanuska-Susitna Borough, AK",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Cochise County, AZ",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Maricopa County, AZ",2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,432.0
"Maricopa County, AZ",2009.0,Drug poisonings (overdose) Suicide (X60-X64),D2,85.0
