County,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
"Baldwin County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Blount County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Cullman County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"DeKalb County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Escambia County, AL",2013.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12.0
"Etowah County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Franklin County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Houston County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Jefferson County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,85.0
"Lee County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Madison County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Marshall County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Mobile County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,57.0
"Morgan County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"St. Clair County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Shelby County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
"Talladega County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Tuscaloosa County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0
"Walker County, AL",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0
"Anchorage Borough, AK",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,44.0
"Fairbanks North Star Borough, AK",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Matanuska-Susitna Borough, AK",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Cochise County, AZ",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Coconino County, AZ",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
"Gila County, AZ",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Maricopa County, AZ",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,525.0
"Maricopa County, AZ",2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,91.0
"Maricopa County, AZ",2013.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,89.0
"Mohave County, AZ",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,43.0
"Mohave County, AZ",2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0
"Navajo County, AZ",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Pima County, AZ",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,189.0
"Pima County, AZ",2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0
"Pinal County, AZ",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0
"Yavapai County, AZ",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,39.0
"Yavapai County, AZ",2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0
"Yavapai County, AZ",2013.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,13.0
"Yuma County, AZ",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Benton County, AR",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Craighead County, AR",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Crawford County, AR",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Garland County, AR",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Lonoke County, AR",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Pulaski County, AR",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0
"Pulaski County, AR",2013.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Washington County, AR",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Alameda County, CA",2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,150.0
